time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
60470,117.0,198.0,0.15,0.33,100.0,0.16,34.0,86.0,47.0,0
60480,117.0,198.0,0.15,0.33,100.0,0.16,35.0,86.0,44.0,0
68290,69.0,93.0,0.03,0.03,100.0,0.3,23.0,87.0,51.0,0
72600,56.0,77.0,0.03,0.03,100.0,0.3,25.0,88.0,52.0,0
73090,56.0,113.0,0.03,0.03,100.0,0.3,38.0,90.0,52.0,0
73550,96.0,200.0,0.5,0.68,50.0,0.59,25.0,89.0,54.0,0
73560,96.0,200.0,0.5,0.68,50.0,0.59,29.0,90.0,58.0,0
73570,96.0,200.0,0.5,0.68,50.0,0.59,41.0,90.0,58.0,0
73580,96.0,200.0,0.5,0.68,50.0,0.59,39.0,90.0,58.0,0
73590,96.0,200.0,0.5,0.68,50.0,0.59,25.0,90.0,58.0,0
73600,96.0,200.0,0.5,0.68,50.0,0.59,33.0,90.0,58.0,0
73610,96.0,200.0,0.5,0.68,50.0,0.59,40.0,90.0,58.0,0
73620,96.0,200.0,0.5,0.68,50.0,0.59,30.0,90.0,56.0,0
73630,96.0,200.0,0.5,0.68,50.0,0.59,38.0,90.0,56.0,0
73640,96.0,200.0,0.5,0.68,50.0,0.59,40.0,90.0,56.0,0
73650,96.0,200.0,0.5,0.68,50.0,0.59,32.0,91.0,56.0,0
73660,96.0,200.0,0.5,0.68,50.0,0.59,33.0,91.0,56.0,0
73670,96.0,200.0,0.5,0.68,50.0,0.59,41.0,91.0,56.0,0
73680,96.0,200.0,0.5,0.68,50.0,0.59,33.0,91.0,51.0,0
73690,96.0,200.0,0.5,0.68,50.0,0.59,33.0,91.0,51.0,0
73700,96.0,200.0,0.5,0.68,50.0,0.59,40.0,90.0,51.0,0
73710,96.0,200.0,0.5,0.68,50.0,0.59,31.0,90.0,51.0,0
73720,96.0,200.0,0.5,0.68,50.0,0.59,28.0,90.0,51.0,0
73730,96.0,200.0,0.5,0.68,50.0,0.59,40.0,90.0,51.0,0
73740,96.0,200.0,0.5,0.68,50.0,0.59,32.0,90.0,53.0,0
73750,96.0,200.0,0.5,0.68,50.0,0.59,29.0,90.0,53.0,0
73760,96.0,200.0,0.5,0.68,50.0,0.59,36.0,90.0,53.0,0
73770,96.0,200.0,0.5,0.68,50.0,0.59,32.0,90.0,53.0,0
73780,96.0,200.0,0.5,0.68,50.0,0.59,25.0,90.0,53.0,0
73790,96.0,200.0,0.5,0.68,50.0,0.59,38.0,90.0,53.0,0
73800,96.0,200.0,0.5,0.68,50.0,0.59,32.0,90.0,55.0,0
73810,96.0,200.0,0.5,0.68,50.0,0.59,31.0,90.0,55.0,0
73820,96.0,200.0,0.5,0.68,50.0,0.59,38.0,90.0,55.0,0
73830,96.0,200.0,0.5,0.68,50.0,0.59,37.0,91.0,55.0,0
73840,96.0,200.0,0.5,0.68,50.0,0.59,31.0,91.0,55.0,0
73850,96.0,200.0,0.5,0.68,50.0,0.59,41.0,91.0,55.0,0
73860,96.0,200.0,0.5,0.68,50.0,0.59,47.0,92.0,56.0,0
73870,96.0,200.0,0.5,0.68,50.0,0.59,46.0,92.0,56.0,0
80410,98.0,202.0,0.62,0.79,50.0,0.79,38.0,85.0,55.0,0
80420,98.0,202.0,0.62,0.79,50.0,0.79,32.0,85.0,55.0,0
80430,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,55.0,0
80440,98.0,202.0,0.62,0.79,50.0,0.79,34.0,85.0,55.0,0
80450,98.0,202.0,0.62,0.79,50.0,0.79,35.0,85.0,55.0,0
80460,98.0,202.0,0.62,0.79,50.0,0.79,35.0,85.0,57.0,0
80470,98.0,202.0,0.62,0.79,50.0,0.79,37.0,85.0,57.0,0
80480,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,57.0,0
80490,98.0,202.0,0.62,0.79,50.0,0.79,35.0,85.0,57.0,0
80500,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,57.0,0
80510,98.0,202.0,0.62,0.79,50.0,0.79,33.0,86.0,57.0,0
80520,98.0,202.0,0.62,0.79,50.0,0.79,34.0,85.0,57.0,0
80530,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,57.0,0
80540,98.0,202.0,0.62,0.79,50.0,0.79,31.0,85.0,57.0,0
80550,98.0,202.0,0.62,0.79,50.0,0.79,30.0,85.0,57.0,0
80560,98.0,202.0,0.62,0.79,50.0,0.79,31.0,86.0,57.0,0
80570,98.0,202.0,0.62,0.79,50.0,0.79,32.0,85.0,57.0,0
80580,98.0,202.0,0.62,0.79,50.0,0.79,32.0,86.0,58.0,0
80590,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,58.0,0
80600,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,58.0,0
80610,98.0,202.0,0.62,0.79,50.0,0.79,40.0,85.0,58.0,0
80620,98.0,202.0,0.62,0.79,50.0,0.79,43.0,86.0,58.0,0
80630,98.0,202.0,0.62,0.79,50.0,0.79,36.0,85.0,58.0,0
80640,98.0,202.0,0.62,0.79,50.0,0.79,30.0,85.0,56.0,0
80650,98.0,202.0,0.62,0.79,50.0,0.79,33.0,86.0,56.0,0
80660,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,56.0,0
80670,98.0,202.0,0.62,0.79,50.0,0.79,29.0,86.0,56.0,0
80680,98.0,202.0,0.62,0.79,50.0,0.79,28.0,86.0,56.0,0
80690,98.0,202.0,0.62,0.79,50.0,0.79,30.0,86.0,56.0,0
80700,98.0,202.0,0.62,0.79,50.0,0.79,30.0,85.0,56.0,0
80710,98.0,202.0,0.62,0.79,50.0,0.79,31.0,85.0,56.0,0
80720,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,56.0,0
80730,98.0,202.0,0.62,0.79,50.0,0.79,30.0,86.0,56.0,0
80740,98.0,202.0,0.62,0.79,50.0,0.79,30.0,85.0,56.0,0
80750,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,56.0,0
80760,98.0,202.0,0.62,0.79,50.0,0.79,27.0,85.0,52.0,0
80770,98.0,202.0,0.62,0.79,50.0,0.79,29.0,86.0,52.0,0
80780,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,52.0,0
80790,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,52.0,0
80800,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,52.0,0
80810,98.0,202.0,0.62,0.79,50.0,0.79,27.0,85.0,52.0,0
80820,98.0,202.0,0.62,0.79,50.0,0.79,27.0,85.0,56.0,0
80830,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,56.0,0
80840,98.0,202.0,0.62,0.79,50.0,0.79,27.0,84.0,56.0,0
80850,98.0,202.0,0.62,0.79,50.0,0.79,27.0,85.0,56.0,0
80860,98.0,202.0,0.62,0.79,50.0,0.79,27.0,85.0,56.0,0
80870,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,56.0,0
80880,98.0,202.0,0.62,0.79,50.0,0.79,24.0,85.0,54.0,0
80890,98.0,202.0,0.62,0.79,50.0,0.79,30.0,85.0,54.0,0
80900,98.0,202.0,0.62,0.79,50.0,0.79,31.0,85.0,54.0,0
80910,98.0,202.0,0.62,0.79,50.0,0.79,30.0,85.0,54.0,0
80920,98.0,202.0,0.62,0.79,50.0,0.79,31.0,85.0,54.0,0
80930,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,54.0,0
80940,98.0,202.0,0.62,0.79,50.0,0.79,26.0,85.0,56.0,0
80950,98.0,202.0,0.62,0.79,50.0,0.79,31.0,85.0,56.0,0
80960,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,56.0,0
80970,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,56.0,0
80980,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,56.0,0
80990,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,56.0,0
81000,98.0,202.0,0.62,0.79,50.0,0.79,28.0,85.0,57.0,0
81010,98.0,202.0,0.62,0.79,50.0,0.79,32.0,85.0,57.0,0
81020,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,57.0,0
81030,98.0,202.0,0.62,0.79,50.0,0.79,32.0,85.0,57.0,0
81040,98.0,202.0,0.62,0.79,50.0,0.79,33.0,85.0,57.0,0
81050,98.0,202.0,0.62,0.79,50.0,0.79,35.0,85.0,57.0,0
81060,98.0,202.0,0.62,0.79,50.0,0.79,35.0,86.0,58.0,0
81070,98.0,202.0,0.62,0.79,50.0,0.79,32.0,86.0,58.0,0
